Method,max_m,mean_m,median_m,min_m,n_points,p75_m,p90_m,p95_m,p99_m,rms_m,std_m
gaussian,11.442418671780324,2.730606612848887,2.4720990661515447,0.0031207690160871,672.0,4.044894957191445,5.300292882833949,6.311221354150113,8.359592625826282,3.405777759285801,2.036979185356002
savgol,11.538614595514524,2.707122578894787,2.4838207030114514,0.0041422323540155,672.0,3.977589912115341,5.088609607292932,6.230391740152331,8.37006400080331,3.3570217708815178,1.9866947323075697
ma,11.406154833846715,2.7528037603835216,2.4776852612868643,6.704100035937098e-05,672.0,4.047727654453327,5.457502812993335,6.392215816093935,8.33196431090069,3.432772380068199,2.0523805502486856
