Method,max_m,mean_m,median_m,min_m,n_points,p75_m,p90_m,p95_m,p99_m,rms_m,std_m
gaussian,17.523782428131238,2.4960180528504083,2.201401366907376,0.0671292666768078,369.0,3.5277062344772574,4.5277756981982495,5.259176705198954,12.135681102381303,3.359243733656488,2.2512545742545096
savgol,19.989967237427493,2.4124148299268593,2.228992762267664,0.0206061878559356,369.0,3.408870809723849,4.153189322851986,4.843468889931508,12.674467771882966,3.3414873519193615,2.315236277618243
ma,16.728694279842102,2.5422381539443664,2.2724363166742876,0.007917972661263,369.0,3.583087791023704,4.6163943102217875,5.572465876975067,13.192281517412663,3.4356535616087984,2.3141420539785837
